epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2001.69,1.17267,1.03237,1.02847,0.56477,0.36055,0.40331,0.24275,1.32195,1.24748,1.10433,0.00023764,0.00023764,0.00023764
43,2049.87,1.16794,1.02805,1.02686,0.62289,0.39911,0.41126,0.25045,1.28498,1.22853,1.09326,0.00023368,0.00023368,0.00023368
44,2098.66,1.1712,1.01959,1.02596,0.60137,0.39314,0.42864,0.25745,1.32029,1.23773,1.10446,0.00022972,0.00022972,0.00022972
45,2146.05,1.17412,1.01288,1.02391,0.54573,0.38532,0.42408,0.25382,1.33621,1.22492,1.1137,0.00022576,0.00022576,0.00022576
46,2193.2,1.16666,1.00832,1.02665,0.62737,0.37186,0.41514,0.25203,1.31616,1.19914,1.09993,0.0002218,0.0002218,0.0002218
47,2240.17,1.1595,1.00396,1.02055,0.63108,0.36513,0.41748,0.25506,1.32999,1.19423,1.11203,0.00021784,0.00021784,0.00021784
48,2288.13,1.15004,0.98215,1.01628,0.5917,0.40936,0.4122,0.24853,1.29641,1.19202,1.09205,0.00021388,0.00021388,0.00021388
49,2336.76,1.14569,0.98261,1.01732,0.59126,0.40902,0.41616,0.25411,1.32308,1.23362,1.10693,0.00020992,0.00020992,0.00020992
50,2384.19,1.14824,0.98423,1.02221,0.61205,0.38031,0.41253,0.2515,1.2961,1.24648,1.10013,0.00020596,0.00020596,0.00020596
51,2431.36,1.16096,0.96983,1.0202,0.59819,0.39719,0.42115,0.24904,1.35415,1.26432,1.12095,0.000202,0.000202,0.000202
52,2478.83,1.1384,0.96206,1.01564,0.59115,0.41682,0.40315,0.24573,1.30735,1.21543,1.10769,0.00019804,0.00019804,0.00019804
53,2525.98,1.1431,0.95001,1.01066,0.61268,0.38307,0.42201,0.25702,1.31799,1.19734,1.10464,0.00019408,0.00019408,0.00019408
54,2574.55,1.13861,0.95609,1.01416,0.60273,0.38813,0.43944,0.26261,1.30469,1.18695,1.09512,0.00019012,0.00019012,0.00019012
55,2622.17,1.14913,0.9546,1.01131,0.59577,0.42185,0.42263,0.25055,1.3641,1.22586,1.12721,0.00018616,0.00018616,0.00018616
56,2669.37,1.12456,0.93604,1.00967,0.60958,0.39684,0.42342,0.25843,1.30808,1.19878,1.10058,0.0001822,0.0001822,0.0001822
57,2716.15,1.11512,0.93413,1.00665,0.50325,0.41159,0.43418,0.26865,1.30279,1.1753,1.10166,0.00017824,0.00017824,0.00017824
58,2763.26,1.12141,0.92124,1.00476,0.59283,0.44362,0.45664,0.26916,1.30672,1.20165,1.09657,0.00017428,0.00017428,0.00017428
